name,smiles,is_papota
mephenoxalone,C1=C(C(=CC=C1)OC)OCC2CNC(O2)=O,0
adatanserin,C1=NC(=NC=C1)N5CCN(CCNC(C23CC4CC(C2)CC(C3)C4)=O)CC5,0
Y-G14,c1c(nccc1)CCNC,0
tinidazole,C1=C([N](CC[S](CC)(=O)=O)C(=N1)C)[N+](=O)[O-],0
lufuradom,C1=CC(=CC2=C1C(=NCC(N2C)CNC(C3=COC=C3)=O)C4=CC=CC=C4)F,0
ceftiofur,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSC(=O)c3occc3)/c4csc(N)n4,0
BRL53087,c1(ccc(c(c1)Cl)Cl)CC(N1[C@@H](CN2CCCC2)CC(CC1)(C)C)=O,0
isoflupredone,C(C(C1(CCC2C4C(C(CC12C)O)(F)C3(C=CC(C=C3CC4)=O)C)O)=O)O,0
hydrocortisone-hemisuccinate,[C@@]4(OC(=O)CCCC)(C3(C(C2C(C1(C(=CC(=O)CC1)CC2)C)C(O)C3)CC4)C)C(=O)CO,0
Pholcodine,CN1CCC23C4C1CC5=C2C(=C(C=C5)OCCN6CCOCC6)OC3C(C=C4)O,1
fluazacort,[C@@]34(F)C(C2C(C1(N=C(OC1C2)C)C(=O)COC(=O)C)(CC3O)C)CCC5=CC(=O)C=CC45C,0
Butalbital,CC(C)CC1(C(=O)NC(=O)NC1=O)CC=C,1
Acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(c1)C(C)=O,0
phenomorphan,C1=C(O)C=CC4=C1C35C(C(N(CCC2=CC=CC=C2)CC3)C4)CCCC5,0
taniplon,C2=C(C1=NOC(=N1)C)N=C3[N]2C4=C(C(=N3)OC)CCCC4,0
Ethanol,CCO,0
Bromperidol,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c3ccc(Br)cc3,0
climazolam,C1=CC(=CC3=C1[N]2C(=CN=C2C)CN=C3C4=CC=CC=C4Cl)Cl,0
tazomeline,C(SC1=NSN=C1C2=CCCN(C2)C)CCCCC,0
tiomergine,C5=C2C1=C([NH]C=C1CC4C2=CC(CSC3=NC=CC=C3)CN4C)C=C5,0
cp21,CCN1C=CC(=O)C(=C1C)O,0
hepzidine,C1=CC=CC2=C1C(C3=C(CC2)C=CC=C3)OC4CCN(C)CC4,0
salbutamol,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,0
butamoxane,C1=CC=CC2=C1OC(CNCCCC)CO2,0
Alprazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,1
Levallorphan,Oc1ccc2C[C@@H]3[C@@H]4CCCC[C@]4(CCN3CC=C)c2c1,0
trocimine,C2=C(C(N1CCCCCCC1)=O)C=C(OC)C(=C2OC)OC,0
Org32104,c1c2c(ccc1)[C@@]1([C@@H](c3cccc(c3O2)C)CNCC1)O,0
Tilidine,CCOC(=O)C1(CCC=CC1N(C)C)C2=CC=CC=C2.Cl,1
fenaperone,C1=CC(=CC=C1C(CCCN3CCN(C(OC2CCCCC2)=O)CC3)=O)F,0
Boldione,CC12CCC3C(C1CCC2=O)CCC4=CC(=O)C=CC34C,1
cefminox,CO[C@]1(NC(=O)CSC[C@@H](N)C(O)=O)[C@H]2SCC(=C(N2C1=O)C(O)=O)CSc3nnnn3C,0
Nalidixicacid,CCN1C=C(C(O)=O)C(=O)c2ccc(C)nc12,0
24959,C1N(C(CC2CCCCC12)C(NC(C)(C)C)=O)CC(C(Cc1ccccc1)NC(C(NC(c1nc2c(cccc2)cc1)=O)CC(N)=O)=O)O,0
didrovaltrate,[C@]23([C@@H]1[C@@H](C(=CO[C@H]1OC(=O)CC(C)C)COC(=O)CC(C)C)C[C@@H]2OC(=O)C)OC3,0
benperidol,Fc1ccc(cc1)C(=O)CCCN2CCC(CC2)N3C(=O)Nc4ccccc34,0
picenadol,[C@]2(C1=CC(=CC=C1)O)([C@H](CN(C)CC2)C)CCC,0
Alpha-methyltryptamine,CC(CC1=CNC2=CC=CC=C21)N,1
SKF101468,C1C(Nc2c1c(ccc2)CCN(CCC)CCC)=O,0
JWH-203 (1-Pentyl-3-(2-chlorophenylacetyl) indole),CCCCCN1C=C(C2=CC=CC=C21)C(=O)CC3=CC=CC=C3Cl,1
dexamisole,[C@@H]3(C1=CC=CC=C1)CN2CCSC2=N3,0
Petrichloral,C(C(COC(C(Cl)(Cl)Cl)O)(COC(C(Cl)(Cl)Cl)O)COC(C(Cl)(Cl)Cl)O)OC(C(Cl)(Cl)Cl)O,1
MDPV (3-4-Methylenedioxypyrovalerone),CCCC(C(=O)C1=CC2=C(C=C1)OCO2)N3CCCC3,1
phencyclidine,C1CCN(CC1)C2(CCCCC2)c3ccccc3,0
monometacrine,C1=CC=CC3=C1N(C2=C(C=CC=C2)C3(C)C)CCCNC,0
metopon,[C@@]125C3=C4C[C@H]([C@@H]1CCC([C@@]2(OC3=C(C=C4)O)C)=O)N(C)CC5,0
Org4428,OC12c3c(Oc4c(C)cccc4C2CN(CC1)C)cccc3,0
Alphaprodine,CCC(=O)OC1(CCN(CC1C)C)C2=CC=CC=C2.Cl,1
4-Fluoro-N-methylcathinone (4-FMC),CC(C(=O)C1=CC=C(C=C1)F)NC.Cl,1
thc,CCCCCc1cc(O)c2[C@@H]3C=C(C)CC[C@H]3C(C)(C)Oc2c1,0
Morphine,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O,1
Cathine,CC(C(C1=CC=CC=C1)O)N,1
Remifentanil,CCC(=O)N(C1=CC=CC=C1)C2(CC[NH+](CC2)CCC(=O)OC)C(=O)OC.[Cl-],1
Trichloromethane,ClC(Cl)Cl,0
cebaracetam,C1=CC(=CC=C1C3CN(CC(N2CC(NCC2)=O)=O)C(C3)=O)Cl,0
buclizine,CC(C)(C)c1ccc(CN2CCN(CC2)C(c3ccccc3)c4ccc(Cl)cc4)cc1,0
prednisolone-tebutate,[C@]34([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)C=C1)CC2)C)[C@H](C3)O)CC[C@@]4(C(COC(CC(C)(C)C)=O)=O)O)C,0
timobesone,CSC(=O)C3(O)C(C)CC4C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC34C,0
Testolactone (13-hydroxy-3-oxo-13-17-secoandrosta-1-4-dien-17-oic acid lactone),CC12CCC3C(C1CCC(=O)O2)CCC4=CC(=O)C=CC34C,1
GR94839_G,c1(CC(N2[C@H](CN(CC2)C(=O)C)C[N@]2CC[C@H](O)C2)=O)cc(ccc1)N(=O)=O,0
14,c1cc(ncc1)CSCCNc1c(cc[nH]1)[N+](=O)[O-],0
cefotaxime,[Na+].CO\N=C(C(=O)N[C@@H]1[C@@H]2SCC(=C(N2C1=O)C([O-])=O)COC(C)=O)\c3csc(N)n3,0
halopemide,C1=CC(=CC4=C1N(C3CCN(CCNC(C2=CC=C(F)C=C2)=O)CC3)C(N4)=O)Cl,0
Phenolphthalein,Oc1ccc(cc1)C2(OC(=O)c3ccccc23)c4ccc(O)cc4,0
loxapine,C1=C(Cl)C=CC2=C1C(=NC3=C(O2)C=CC=C3)N4CCN(CC4)C,0
Org12962,C1NCCN(C1)c1ccc(c(n1)Cl)C(F)(F)F,0
rifamycin,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)C(=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)/C)cc(O)c4c3C2=O,0
Ethacrynic acid,CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl,0
Econazole,Clc1ccc(COC(Cn2ccnc2)c3ccc(Cl)cc3Cl)cc1,0
Normorphine,C1CNC2CC3=C4C15C2C=CC(C5OC4=C(C=C3)O)O,1
Thiotepa,S=[P](N1CC1)(N2CC2)N3CC3,0
4-hydroxymidazolam,Cc1ncc2C(O)N=C(c3ccccc3F)c4cc(Cl)ccc4n12,0
cefuracetime,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(C)=O)/c3occc3,0
tisocromide,C1=C(OC)C(=CC2=C1[S](OC(C2)C(NC(CC(N(C)C)(C)C)C)=O)(=O)=O)OC,0
endomide,[C@@H]1([C@@H]([C@H]2C=C[C@@H]1C2)C(N(CC)CC)=O)C(N(CC)CC)=O,0
phenmetrazine,C2=C(C1C(C)NCCO1)C=CC=C2,0
U50488,CN(C1CCCC[C@H]1N2CCCC2)C(=O)Cc3ccc(Cl)c(Cl)c3,0
moxadolen,[C@@H]13C=C[C@@H]([C@@]2([C@H]1[C@H](OC2=O)OC(NC)=O)C)C3,0
Androstanedione (5alpha-androstan-3-17-dione),CC12CCC(=O)CC1CCC3C2CCC4(C3CCC4=O)C,1
clomethiazole,Cc1ncsc1CCCl,0
tofisoline,C1=C(OC)C(=CC2=C1C(=[N+](C(=C2CC)C)[NH-])C3=CC=C(C(=C3)OC)OC)OC,0
Diethylether,CCOCC,0
talsupram,C1=CC=CC3=C1C(C2=CC=CC=C2)(SC3(C)C)CCCNC,0
compound 34,O=C(C)Nc1cc(c2csc(N=C(N)N)n2)ccc1,0
[3-2-c]pyrazole-androst-4-en-17ÃÅ½ÃÂ²-ol,CC12CCC3C(C1CCC2O)CCC4=CC5=C(CC34C)C=NN5,1
Betameprodine,CCC1CN(CCC1(C2=CC=CC=C2)OC(=O)CC)C,1
levoprotiline(oxaprotiline),C13(C4=C(C(C2=C1C=CC=C2)CC3)C=CC=C4)C[C@H](CNC)O,0
flutizenol,C1=C(C(F)(F)F)C=CC3=C1N(C2=C(SC=C2)S3)CCCN4CCN(CCO)CC4,0
diproleandomycin,CCC(=O)O[C@H]1[C@@H](C)[C@@H](C)OC(=O)C(C)[C@@H](O[C@H]2C[C@H](OC)[C@@H](OC(=O)CC)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]3O[C@H](C)C[C@@H]([C@H]3O)N(C)C)C(C)C[C@@]4(CO4)C(=O)[C@@H]1C,0
cp102,c1cn(CCO)c(CC)c(O)c1=O,0
clopipazan,CN1CCC(CC1)=C3c2ccccc2Oc4ccc(Cl)cc34,0
conorphone(conorfone),[C@H]12C5CC4=C3[C@]1([C@H](C(C[C@@H]2CC)=O)OC3=C(C=C4)OC)CCN5CC6CC6,0
cefsumide,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3cccc(N[S](C)(=O)=O)c3)C2=O)C(O)=O,0
mepiprazole,C1=C(C=CC=C1N3CCN(CCC2=N[NH]C(=C2)C)CC3)Cl,0
Etorphine (except HCl),CCCC(C)(C1CC23C=CC1(C4C25CCN(C3CC6=C5C(=C(C=C6)O)O4)C)OC)O,1
blonanserin,C1=C(C3=C(N=C1N2CCN(CC)CC2)CCCCCC3)C4=CC=C(F)C=C4,0
cefpiramide,Cn1nnnc1SCC2=C(N3[C@H](SC2)C(NC(=O)[C@H](NC(=O)C4=CNC(=CC4=O)C)c5ccc(O)cc5)C3=O)C(O)=O,0
3-methylpentane,CCC(C)CC,0
Propiram,CCC(=O)N(C1=CC=CC=N1)C(C)CN2CCCCC2.C(=CC(=O)O)C(=O)O,1
thioguanine,NC1=NC(=S)c2[nH]cnc2N1,0
trebenzomine,C1=CC=CC2=C1CC(N(C)C)C(O2)C,0
spiclamine,[C@@H]3(C1=CC=C(Cl)C=C1)[C@H]2CC[C@@H](C2)C34CCC(=N4)N5CCOCC5,0
thiamylal,C(C1(C(NC(=S)NC1=O)=O)C(CCC)C)C=C,0
ADB-PINACA (N-(1-amino-3-3-dimethyl-1-oxobutan-2-yl)-1-pentyl-1H-indazole-3-carboxamide),CCCCCN1C2=CC=CC=C2C(=N1)C(=O)NC(C(=O)N)C(C)(C)C,1
4-Hydroxy-19-nortestosterone (4-17beta-dihydroxyestr-4-en-3-one),CC12CCC3C(C1CCC2O)CCC4=C(C(=O)CCC34)O,1
Tibolone,C[C@@H]1CC2=C(CCC(=O)C2)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]4(O)C#C)[C@H]13,0
Phenoperidine,CCOC(=O)C1(CCN(CC1)CCC(C2=CC=CC=C2)O)C3=CC=CC=C3,1
budesonide,[C@@]45([C@@]3([C@H]([C@H]2[C@@H]([C@@]1(C(=CC(=O)C=C1)CC2)C)[C@H](C3)O)C[C@H]4OC(O5)CCC)C)C(CO)=O,0
Lysergic acid,CN1CC(C=C2C1CC3=CNC4=CC=CC2=C34)C(=O)O,1
Oxaprozin,OC(=O)CCc1oc(c2ccccc2)c(n1)c3ccccc3,0
Benzphetamine,CC(CC1=CC=CC=C1)N(C)CC2=CC=CC=C2,1
Ethylestrenol (17alpha-ethyl-17beta-hydroxyestr-4-ene),CCC1(CCC2C1(CCC3C2CCC4=CCCCC34)C)O,1
fenimide,C2=C(C1(C(C(=O)NC1=O)CC)C)C=CC=C2,0
nadolol,CC(C)(C)NCC(O)COc1cccc2C[C@@H](O)[C@@H](O)Cc12,0
icometasone-enbutate,[C@@]4([C@@]3([C@H]([C@H]2[C@]([C@@]1(C(=CC(=O)C=C1)CC2)C)(Cl)[C@H](C3)O)C[C@H]4C)C)(C(COC(C)=O)=O)OC(CCC)=O,0
diflucortolone,[C@@]24(F)C1(C(=CC(=O)C=C1)[C@@H](F)CC2C3C(C([C@@H](C3)C)C(=O)CO)(CC4O)C)C,0
pregnenolone-succinate,C(C(OC4CC3=CCC2C1C(C(CC1)C(C)=O)(CCC2C3(CC4)C)C)=O)CC(O)=O,0
erizepine,C1=CC=CC3=C1C4=C(C2=C(C=CC=C2)N3C)CCN(CC4)C,0
phenazocine,C1=C(C=CC2=C1C3(C)C(C)C(C2)N(CC3)CCC4=CC=CC=C4)O,0
Anileridine,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3,1
4-Androstenediol (3beta-17beta-dihydroxy-androst-4-ene),CC12CCC3C(C1CCC2O)CCC4=CC(CCC34C)O,1
carperone,C2=C(C(CCCN1CCC(OC(NC(C)C)=O)CC1)=O)C=CC(=C2)F,0
fluprednidene,[C@]34([C@H]([C@H]2[C@@]([C@@]1(C(=CC(C=C1)=O)CC2)C)(C(C3)O)F)CC([C@@]4(C(=O)CO)O)=C)C,0
dezinamide,C1=C(C=CC=C1OC2CN(C(N)=O)C2)C(F)(F)F,0
N-Ethyl-3-piperidyl benzilate,CC[N+]1(CCCC(C1)OC(=O)C(C2=CC=CC=C2)(C3=CC=CC=C3)O)C.[Br-],1
pipotiazine,C1=C([S](N(C)C)(=O)=O)C=CC3=C1N(C2=C(C=CC=C2)S3)CCCN4CCC(CCO)CC4,0
GR94839,c1(ccc(c(c1)Cl)Cl)CC(=O)N1[C@H](CN(C(=O)C)CC1)C[N@@]1C[C@H](O)CC1,0
fenoterol,CC(Cc1ccc(O)cc1)NCC(O)c2cc(O)cc(O)c2,0
Lorazepam,C1=CC=C(C(=C1)C2=NC(C(=O)NC3=C2C=C(C=C3)Cl)O)Cl,1
paroxetine,[C@@H]3([C@H](COC1=CC=C2C(=C1)OCO2)CNCC3)C4=CC=C(C=C4)F,0
pheniprazine,C1=CC=CC=C1CC(NN)C,0
omiloxetine,[C@H]2([C@H](CN(CC(C1=CC=C(F)C=C1)=O)CC2)COC4=CC3=C(OCO3)C=C4)C5=CC=C(F)C=C5,0
brosuximide,C2=C(C1C(NC(C1)=O)=O)C=CC=C2Br,0
Lomustine,ClCCN(N=O)C(=O)NC1CCCCC1,0
alrestatin,C1=CC=C3C2=C1C(N(CC(O)=O)C(C2=CC=C3)=O)=O,0
carindacillin,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)Oc3ccc4CCCc4c3)c5ccccc5)C(=O)N2[C@H]1C(O)=O,0
clobetasone,[C@@]23(F)[C@H]([C@H]1[C@@]([C@@]([C@H](C1)C)(O)C(=O)CCl)(CC2=O)C)CCC4=CC(=O)C=C[C@]34C,0
4-Methoxyamphetamine,CC(CC1=CC=C(C=C1)OC)N,1
fluprazine,C1=C(C=CC=C1N2CCN(CCNC(N)=O)CC2)C(F)(F)F,0
bromisoval,CC(C(C(NC(N)=O)=O)Br)C,0
cinuperone,C3=C(N2CCN(CCCC(C1=CC=C(F)C=C1)=O)CC2)N=CC4=CC=CC=C34,0
flurazepam,CCN(CC)CCN1C(=O)CN=C(c2ccccc2F)c3cc(Cl)ccc13,0
Org30526,Clc1cc2c(Oc3ccccc3C3CNCC32)cc1,0
ocaperidone,C1=CC(=CC2=C1C(=NO2)C5CCN(CCC3=C(N=C4N(C3=O)C=CC=C4C)C)CC5)F,0
Dexfenfluramine,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F.Cl,1
tralonide,[C@]12(OC(O[C@@H]1CC3C2(C[C@H](Cl)[C@@]4(Cl)C3C[C@H](F)C5=CC(=O)C=CC45C)C)(C)C)C(=O)CF,0
acetophenazine,CC(=O)c1ccc2Sc3ccccc3N(CCCN4CCN(CCO)CC4)c2c1,0
Dehydrochloromethyltestosterone (4-chloro-17beta-hydroxy-17alpha-methylandrost-1-4-dien-3-one),CC12CCC3C(C1CCC2(C)O)CCC4=C(C(=O)C=CC34C)Cl,1
mefeclorazine,C1=CC(=CC(=C1OC)OC)CCN2CCN(CC2)C3=CC(=CC=C3)Cl,0
vindesine,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(N)=O)C1,0
Morphine methylbromide,C[N+]1(CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O)C.[Br-],1
compound 40,c1ccc(C(NCCCOc2cc(CN3CCCCC3)ccc2)=O)cc1,0
Amikacin,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]3O[C@H](CO)[C@@H](O)[C@H](N)[C@H]3O,0
cypenamine,C2=C(C1C(CCC1)N)C=CC=C2,0
cabergoline,[C@@H]34C1=CC=CC2=C1C(=C[NH]2)C[C@H]3N(C[C@@H](C4)C(N(C(NCC)=O)CCCN(C)C)=O)CC=C,0
